country,iso3,who_region,month_start,month_lab,cases,deaths
Andorra,AND,EURO,2022-07-01,Jul 2022,3,0
Andorra,AND,EURO,2022-08-01,Aug 2022,1,0
Andorra,AND,EURO,2022-09-01,Sep 2022,0,0
Andorra,AND,EURO,2022-10-01,Oct 2022,0,0
Andorra,AND,EURO,2022-11-01,Nov 2022,0,0
Andorra,AND,EURO,2022-12-01,Dec 2022,0,0
Andorra,AND,EURO,2023-01-01,Jan 2023,0,0
Andorra,AND,EURO,2023-02-01,Feb 2023,0,0
Andorra,AND,EURO,2023-03-01,Mar 2023,0,0
Andorra,AND,EURO,2023-04-01,Apr 2023,0,0
Andorra,AND,EURO,2023-05-01,May 2023,0,0
Andorra,AND,EURO,2023-06-01,Jun 2023,0,0
Andorra,AND,EURO,2023-07-01,Jul 2023,0,0
Andorra,AND,EURO,2023-08-01,Aug 2023,0,0
Andorra,AND,EURO,2023-09-01,Sep 2023,0,0
Argentina,ARG,AMRO,2022-06-01,Jun 2022,6,0
Argentina,ARG,AMRO,2022-07-01,Jul 2022,14,0
Argentina,ARG,AMRO,2022-08-01,Aug 2022,150,0
Argentina,ARG,AMRO,2022-09-01,Sep 2022,226,0
Argentina,ARG,AMRO,2022-10-01,Oct 2022,279,0
Argentina,ARG,AMRO,2022-11-01,Nov 2022,269,1
Argentina,ARG,AMRO,2022-12-01,Dec 2022,74,0
Argentina,ARG,AMRO,2023-01-01,Jan 2023,46,1
Argentina,ARG,AMRO,2023-02-01,Feb 2023,34,0
Argentina,ARG,AMRO,2023-03-01,Mar 2023,26,0
Argentina,ARG,AMRO,2023-04-01,Apr 2023,4,0
Argentina,ARG,AMRO,2023-05-01,May 2023,1,0
Argentina,ARG,AMRO,2023-06-01,Jun 2023,0,0
Argentina,ARG,AMRO,2023-07-01,Jul 2023,0,0
Argentina,ARG,AMRO,2023-08-01,Aug 2023,1,0
Argentina,ARG,AMRO,2023-09-01,Sep 2023,0,0
Aruba,ABW,AMRO,2022-08-01,Aug 2022,2,0
Aruba,ABW,AMRO,2022-09-01,Sep 2022,1,0
Aruba,ABW,AMRO,2022-10-01,Oct 2022,0,0
Aruba,ABW,AMRO,2022-11-01,Nov 2022,0,0
Aruba,ABW,AMRO,2022-12-01,Dec 2022,0,0
Aruba,ABW,AMRO,2023-01-01,Jan 2023,0,0
Aruba,ABW,AMRO,2023-02-01,Feb 2023,0,0
Aruba,ABW,AMRO,2023-03-01,Mar 2023,0,0
Aruba,ABW,AMRO,2023-04-01,Apr 2023,0,0
Aruba,ABW,AMRO,2023-05-01,May 2023,0,0
Aruba,ABW,AMRO,2023-06-01,Jun 2023,0,0
Aruba,ABW,AMRO,2023-07-01,Jul 2023,0,0
Aruba,ABW,AMRO,2023-08-01,Aug 2023,0,0
Aruba,ABW,AMRO,2023-09-01,Sep 2023,0,0
Australia,AUS,WPRO,2022-05-01,May 2022,2,0
Australia,AUS,WPRO,2022-06-01,Jun 2022,10,0
Australia,AUS,WPRO,2022-07-01,Jul 2022,33,0
Australia,AUS,WPRO,2022-08-01,Aug 2022,61,0
Australia,AUS,WPRO,2022-09-01,Sep 2022,30,0
Australia,AUS,WPRO,2022-10-01,Oct 2022,4,0
Australia,AUS,WPRO,2022-11-01,Nov 2022,3,0
Australia,AUS,WPRO,2022-12-01,Dec 2022,1,0
Australia,AUS,WPRO,2023-05-01,May 2023,1,0
Australia,AUS,WPRO,2023-08-01,Aug 2023,10,0
Australia,AUS,WPRO,2023-09-01,Sep 2023,1,0
Austria,AUT,EURO,2022-05-01,May 2022,1,0
Austria,AUT,EURO,2022-06-01,Jun 2022,19,0
Austria,AUT,EURO,2022-07-01,Jul 2022,98,0
Austria,AUT,EURO,2022-08-01,Aug 2022,147,0
Austria,AUT,EURO,2022-09-01,Sep 2022,48,0
Austria,AUT,EURO,2022-10-01,Oct 2022,10,0
Austria,AUT,EURO,2022-11-01,Nov 2022,3,0
Austria,AUT,EURO,2022-12-01,Dec 2022,1,0
Austria,AUT,EURO,2023-01-01,Jan 2023,0,0
Austria,AUT,EURO,2023-02-01,Feb 2023,0,0
Austria,AUT,EURO,2023-03-01,Mar 2023,0,0
Austria,AUT,EURO,2023-04-01,Apr 2023,1,0
Austria,AUT,EURO,2023-05-01,May 2023,0,0
Austria,AUT,EURO,2023-06-01,Jun 2023,0,0
Austria,AUT,EURO,2023-07-01,Jul 2023,0,0
Austria,AUT,EURO,2023-08-01,Aug 2023,0,0
Austria,AUT,EURO,2023-09-01,Sep 2023,2,0
Bahamas,BHS,AMRO,2022-06-01,Jun 2022,1,0
Bahamas,BHS,AMRO,2022-07-01,Jul 2022,0,0
Bahamas,BHS,AMRO,2022-08-01,Aug 2022,1,0
Bahamas,BHS,AMRO,2022-09-01,Sep 2022,0,0
Bahamas,BHS,AMRO,2022-10-01,Oct 2022,0,0
Bahamas,BHS,AMRO,2022-11-01,Nov 2022,0,0
Bahamas,BHS,AMRO,2022-12-01,Dec 2022,0,0
Bahamas,BHS,AMRO,2023-01-01,Jan 2023,0,0
Bahamas,BHS,AMRO,2023-02-01,Feb 2023,0,0
Bahamas,BHS,AMRO,2023-03-01,Mar 2023,0,0
Bahamas,BHS,AMRO,2023-04-01,Apr 2023,0,0
Bahamas,BHS,AMRO,2023-05-01,May 2023,0,0
Bahamas,BHS,AMRO,2023-06-01,Jun 2023,1,0
Bahamas,BHS,AMRO,2023-07-01,Jul 2023,0,0
Bahamas,BHS,AMRO,2023-08-01,Aug 2023,0,0
Bahamas,BHS,AMRO,2023-09-01,Sep 2023,0,0
Bahrain,BHR,EMRO,2022-09-01,Sep 2022,1,0
Bahrain,BHR,EMRO,2023-04-01,Apr 2023,1,0
Barbados,BRB,AMRO,2022-07-01,Jul 2022,1,0
Barbados,BRB,AMRO,2022-08-01,Aug 2022,0,0
Barbados,BRB,AMRO,2022-09-01,Sep 2022,0,0
Barbados,BRB,AMRO,2022-10-01,Oct 2022,0,0
Barbados,BRB,AMRO,2022-11-01,Nov 2022,0,0
Barbados,BRB,AMRO,2022-12-01,Dec 2022,0,0
Barbados,BRB,AMRO,2023-01-01,Jan 2023,0,0
Barbados,BRB,AMRO,2023-02-01,Feb 2023,0,0
Barbados,BRB,AMRO,2023-03-01,Mar 2023,0,0
Barbados,BRB,AMRO,2023-04-01,Apr 2023,0,0
Barbados,BRB,AMRO,2023-05-01,May 2023,0,0
Barbados,BRB,AMRO,2023-06-01,Jun 2023,0,0
Barbados,BRB,AMRO,2023-07-01,Jul 2023,0,0
Barbados,BRB,AMRO,2023-08-01,Aug 2023,0,0
Barbados,BRB,AMRO,2023-09-01,Sep 2023,0,0
Belgium,BEL,EURO,2022-05-01,May 2022,10,0
Belgium,BEL,EURO,2022-06-01,Jun 2022,107,0
Belgium,BEL,EURO,2022-07-01,Jul 2022,276,0
Belgium,BEL,EURO,2022-08-01,Aug 2022,313,1
Belgium,BEL,EURO,2022-09-01,Sep 2022,64,0
Belgium,BEL,EURO,2022-10-01,Oct 2022,15,0
Belgium,BEL,EURO,2022-11-01,Nov 2022,4,0
Belgium,BEL,EURO,2022-12-01,Dec 2022,1,0
Belgium,BEL,EURO,2023-01-01,Jan 2023,3,0
Belgium,BEL,EURO,2023-02-01,Feb 2023,0,1
Belgium,BEL,EURO,2023-03-01,Mar 2023,0,0
Belgium,BEL,EURO,2023-04-01,Apr 2023,0,0
Belgium,BEL,EURO,2023-05-01,May 2023,0,0
Belgium,BEL,EURO,2023-06-01,Jun 2023,2,0
Belgium,BEL,EURO,2023-07-01,Jul 2023,0,0
Belgium,BEL,EURO,2023-08-01,Aug 2023,0,0
Belgium,BEL,EURO,2023-09-01,Sep 2023,0,0
Benin,BEN,AFRO,2022-06-01,Jun 2022,3,0
Benin,BEN,AFRO,2022-07-01,Jul 2022,0,0
Benin,BEN,AFRO,2022-08-01,Aug 2022,0,0
Benin,BEN,AFRO,2022-09-01,Sep 2022,0,0
Benin,BEN,AFRO,2022-10-01,Oct 2022,0,0
Benin,BEN,AFRO,2022-11-01,Nov 2022,0,0
Benin,BEN,AFRO,2022-12-01,Dec 2022,0,0
Benin,BEN,AFRO,2023-01-01,Jan 2023,0,0
Benin,BEN,AFRO,2023-02-01,Feb 2023,0,0
Benin,BEN,AFRO,2023-03-01,Mar 2023,0,0
Benin,BEN,AFRO,2023-04-01,Apr 2023,0,0
Benin,BEN,AFRO,2023-05-01,May 2023,0,0
Benin,BEN,AFRO,2023-06-01,Jun 2023,0,0
Benin,BEN,AFRO,2023-07-01,Jul 2023,0,0
Benin,BEN,AFRO,2023-08-01,Aug 2023,0,0
Benin,BEN,AFRO,2023-09-01,Sep 2023,0,0
Bermuda,BMU,AMRO,2022-07-01,Jul 2022,1,0
Bermuda,BMU,AMRO,2022-08-01,Aug 2022,0,0
Bermuda,BMU,AMRO,2022-09-01,Sep 2022,0,0
Bermuda,BMU,AMRO,2022-10-01,Oct 2022,0,0
Bermuda,BMU,AMRO,2022-11-01,Nov 2022,0,0
Bermuda,BMU,AMRO,2022-12-01,Dec 2022,0,0
Bermuda,BMU,AMRO,2023-01-01,Jan 2023,0,0
Bermuda,BMU,AMRO,2023-02-01,Feb 2023,0,0
Bermuda,BMU,AMRO,2023-03-01,Mar 2023,0,0
Bermuda,BMU,AMRO,2023-04-01,Apr 2023,0,0
Bermuda,BMU,AMRO,2023-05-01,May 2023,0,0
Bermuda,BMU,AMRO,2023-06-01,Jun 2023,0,0
Bermuda,BMU,AMRO,2023-07-01,Jul 2023,0,0
Bermuda,BMU,AMRO,2023-08-01,Aug 2023,0,0
Bermuda,BMU,AMRO,2023-09-01,Sep 2023,0,0
Bolivia (Plurinational State of),BOL,AMRO,2022-08-01,Aug 2022,86,0
Bolivia (Plurinational State of),BOL,AMRO,2022-09-01,Sep 2022,109,0
Bolivia (Plurinational State of),BOL,AMRO,2022-10-01,Oct 2022,46,0
Bolivia (Plurinational State of),BOL,AMRO,2022-11-01,Nov 2022,18,0
Bolivia (Plurinational State of),BOL,AMRO,2022-12-01,Dec 2022,2,0
Bolivia (Plurinational State of),BOL,AMRO,2023-01-01,Jan 2023,2,0
Bolivia (Plurinational State of),BOL,AMRO,2023-02-01,Feb 2023,1,0
Bolivia (Plurinational State of),BOL,AMRO,2023-03-01,Mar 2023,1,0
Bolivia (Plurinational State of),BOL,AMRO,2023-04-01,Apr 2023,0,0
Bolivia (Plurinational State of),BOL,AMRO,2023-05-01,May 2023,0,0
Bolivia (Plurinational State of),BOL,AMRO,2023-06-01,Jun 2023,0,0
Bolivia (Plurinational State of),BOL,AMRO,2023-07-01,Jul 2023,0,0
Bolivia (Plurinational State of),BOL,AMRO,2023-08-01,Aug 2023,0,0
Bolivia (Plurinational State of),BOL,AMRO,2023-09-01,Sep 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2022-07-01,Jul 2022,1,0
Bosnia and Herzegovina,BIH,EURO,2022-08-01,Aug 2022,2,0
Bosnia and Herzegovina,BIH,EURO,2022-09-01,Sep 2022,2,0
Bosnia and Herzegovina,BIH,EURO,2022-10-01,Oct 2022,4,0
Bosnia and Herzegovina,BIH,EURO,2022-11-01,Nov 2022,0,0
Bosnia and Herzegovina,BIH,EURO,2022-12-01,Dec 2022,0,0
Bosnia and Herzegovina,BIH,EURO,2023-01-01,Jan 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-02-01,Feb 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-03-01,Mar 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-04-01,Apr 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-05-01,May 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-06-01,Jun 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-07-01,Jul 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-08-01,Aug 2023,0,0
Bosnia and Herzegovina,BIH,EURO,2023-09-01,Sep 2023,0,0
Brazil,BRA,AMRO,2022-06-01,Jun 2022,63,0
Brazil,BRA,AMRO,2022-07-01,Jul 2022,915,0
Brazil,BRA,AMRO,2022-08-01,Aug 2022,4219,2
Brazil,BRA,AMRO,2022-09-01,Sep 2022,2672,0
