vacc_date,received_at_least_one_dose,full_regimen,minimum_protection,received_one_dose_pcttakeup,full_regimen_pcttakeup,minimum_protection_pcttakeup
2020-12-30,754.0,18.0,9.0,0.01,0.0,0.0
2020-12-31,808.0,19.0,9.0,0.01,0.0,0.0
2021-01-01,863.0,19.0,9.0,0.01,0.0,0.0
2021-01-02,909.0,19.0,9.0,0.02,0.0,0.0
2021-01-03,956.0,19.0,9.0,0.02,0.0,0.0
2021-01-04,1076.0,20.0,9.0,0.02,0.0,0.0
2021-01-05,1191.0,24.0,9.0,0.02,0.0,0.0
2021-01-06,1325.0,27.0,9.0,0.02,0.0,0.0
2021-01-07,1468.0,29.0,9.0,0.02,0.0,0.0
2021-01-08,2334.0,39.0,9.0,0.04,0.0,0.0
2021-01-09,2802.0,46.0,9.0,0.05,0.0,0.0
2021-01-10,3042.0,56.0,9.0,0.05,0.0,0.0
2021-01-11,5179.0,56.0,9.0,0.09,0.0,0.0
2021-01-12,8068.0,70.0,9.0,0.14,0.0,0.0
2021-01-13,12143.0,89.0,9.0,0.2,0.0,0.0
2021-01-14,16901.0,105.0,9.0,0.28,0.0,0.0
2021-01-15,22205.0,119.0,9.0,0.37,0.0,0.0
2021-01-16,23984.0,133.0,9.0,0.4,0.0,0.0
2021-01-17,24708.0,145.0,9.0,0.42,0.0,0.0
2021-01-18,32119.0,179.0,9.0,0.54,0.0,0.0
2021-01-19,40198.0,231.0,9.0,0.68,0.0,0.0
2021-01-20,49208.0,343.0,9.0,0.83,0.01,0.0
2021-01-21,56759.0,416.0,9.0,0.95,0.01,0.0
2021-01-22,64375.0,453.0,9.0,1.08,0.01,0.0
2021-01-23,69070.0,482.0,9.0,1.16,0.01,0.0
2021-01-24,73495.0,560.0,9.0,1.23,0.01,0.0
2021-01-25,85213.0,629.0,9.0,1.43,0.01,0.0
2021-01-26,97548.0,721.0,9.0,1.64,0.01,0.0
2021-01-27,111104.0,779.0,9.0,1.87,0.01,0.0
2021-01-28,125344.0,847.0,9.0,2.11,0.01,0.0
2021-01-29,138984.0,1563.0,9.0,2.33,0.03,0.0
2021-01-30,146050.0,1960.0,9.0,2.45,0.03,0.0
2021-01-31,151567.0,2177.0,9.0,2.55,0.04,0.0
2021-02-01,160572.0,4246.0,9.0,2.7,0.07,0.0
2021-02-02,170067.0,6707.0,9.0,2.86,0.11,0.0
2021-02-03,181242.0,10340.0,9.0,3.04,0.17,0.0
2021-02-04,189834.0,14671.0,9.0,3.19,0.25,0.0
2021-02-05,199075.0,19844.0,9.0,3.34,0.33,0.0
2021-02-06,203391.0,21467.0,9.0,3.42,0.36,0.0
2021-02-07,205698.0,22172.0,9.0,3.46,0.37,0.0
2021-02-08,209702.0,29497.0,9.0,3.52,0.5,0.0
2021-02-09,213348.0,37514.0,9.0,3.58,0.63,0.0
2021-02-10,216405.0,46346.0,9.0,3.64,0.78,0.0
2021-02-11,217847.0,49223.0,9.0,3.66,0.83,0.0
2021-02-12,217965.0,49253.0,9.0,3.66,0.83,0.0
2021-02-13,218082.0,49277.0,9.0,3.66,0.83,0.0
2021-02-14,218660.0,53101.0,9.0,3.67,0.89,0.0
2021-02-15,219895.0,63690.0,9.0,3.69,1.07,0.0
2021-02-16,222194.0,77256.0,9.0,3.73,1.3,0.0
2021-02-17,225616.0,92509.0,9.0,3.79,1.55,0.0
2021-02-18,229903.0,106576.0,9.0,3.86,1.79,0.0
2021-02-19,235603.0,120564.0,9.0,3.96,2.03,0.0
2021-02-20,239472.0,128021.0,9.0,4.02,2.15,0.0
2021-02-21,241542.0,133869.0,9.0,4.06,2.25,0.0
2021-02-22,247776.0,145272.0,9.0,4.16,2.44,0.0
2021-02-23,255817.0,156808.0,9.0,4.3,2.63,0.0
2021-02-24,263476.0,168276.0,9.0,4.43,2.83,0.0
2021-02-25,272091.0,178092.0,9.0,4.57,2.99,0.0
2021-02-26,282032.0,188638.0,9.0,4.74,3.17,0.0
